0.01 	-0.28 	-0.08 	0.23 	0.09 	-0.00 	0.88
0.21 	-0.31 	0.01 	0.21 	0.09 	0.00 	0.89
0.42 	-0.28 	-0.16 	0.24 	0.09 	0.00 	0.89
0.62 	-0.30 	0.25 	0.22 	0.09 	0.01 	0.89
0.83 	-0.27 	-0.27 	0.23 	0.09 	0.01 	0.88
1.03 	-0.28 	0.14 	0.22 	0.09 	0.00 	0.88
1.24 	-0.29 	0.02 	0.23 	0.09 	0.00 	0.89
1.44 	-0.30 	-0.11 	0.21 	0.09 	0.01 	0.88
1.65 	-0.31 	0.19 	0.24 	0.09 	-0.00 	0.88
1.86 	-0.31 	-0.09 	0.24 	0.09 	0.00 	0.90
2.06 	-0.30 	-0.03 	0.24 	0.09 	0.01 	0.88
2.27 	-0.30 	0.06 	0.23 	0.09 	0.00 	0.87
2.47 	-0.29 	0.07 	0.24 	0.11 	0.01 	0.90
2.68 	-0.27 	-0.16 	0.23 	0.09 	-0.00 	0.88
2.88 	-0.30 	0.24 	0.24 	0.09 	0.00 	0.88
3.09 	-0.31 	-0.26 	0.24 	0.09 	0.01 	0.89
3.30 	-0.28 	0.16 	0.24 	0.09 	0.01 	0.88
3.50 	-0.29 	-0.10 	0.21 	0.08 	0.01 	0.89
3.71 	-0.28 	0.06 	0.23 	0.09 	0.01 	0.88
3.91 	-0.29 	0.05 	0.24 	0.09 	0.01 	0.89
4.12 	-0.30 	-0.06 	0.23 	0.09 	0.01 	0.89
4.32 	-0.29 	1.95 	0.23 	0.09 	0.01 	0.89
4.53 	-0.29 	0.06 	0.24 	0.09 	0.01 	0.89
4.74 	-0.28 	-0.07 	0.24 	0.09 	0.00 	0.89
4.94 	-0.29 	0.03 	0.23 	0.09 	0.00 	0.88
5.15 	-0.34 	0.15 	0.24 	0.08 	0.01 	0.89
5.35 	-0.28 	-0.12 	0.21 	0.09 	0.00 	0.88
5.56 	-0.27 	-0.04 	0.24 	0.09 	0.01 	0.89
5.76 	-0.29 	0.19 	0.22 	0.09 	0.00 	0.88
5.97 	-0.27 	-0.03 	0.24 	0.09 	0.00 	0.89
6.18 	-0.31 	-0.02 	0.23 	0.09 	0.01 	0.89
6.38 	-0.31 	0.00 	0.23 	0.09 	0.00 	0.89
6.59 	-0.31 	0.02 	0.23 	0.09 	0.02 	0.88
6.79 	-0.29 	0.02 	0.21 	0.09 	0.01 	0.89
7.00 	-0.28 	-0.04 	0.24 	0.09 	0.00 	0.88
7.21 	-0.29 	0.08 	0.24 	0.09 	0.00 	0.89
7.41 	-0.28 	-0.11 	0.23 	0.09 	0.00 	0.89
7.62 	-0.31 	0.08 	0.22 	0.08 	0.00 	0.88
7.82 	-0.30 	0.01 	0.23 	0.10 	0.01 	0.90
8.03 	-0.30 	-0.14 	0.22 	0.09 	0.01 	0.89
8.23 	-0.29 	0.11 	0.22 	0.08 	0.01 	0.88
8.44 	-0.27 	-0.04 	0.22 	0.08 	0.00 	0.89
8.65 	-0.29 	-0.05 	0.23 	0.09 	0.01 	0.88
8.85 	-0.29 	0.09 	0.24 	0.09 	0.00 	0.88
9.06 	-0.28 	-0.05 	0.24 	0.09 	0.00 	0.88
9.26 	-0.29 	-0.01 	0.24 	0.09 	0.00 	0.88
